latorigem,lonorigem,ticketdate,tickettime,usercard,busid,cardtype,sense,valor,route,val,projectid,feed_id,typecard,latdestino,londestino,feed_idstop_id,company,periodrange,tickettimerange,trafficzoneidorign,trafficzoneiddestination,totalcapacity,ticketmonth,ticketdateusercardtickettime,grididorign,grididdestination,validationorder,travelleddistance,ticketdatetime,startoperation,endoperation,stop_idorigem,stop_iddestino,tickettimehour,motive,status
-19.464676,-44.248756,2023-07-26,23:55:48,1890496970,14190,URBANO - VALE TRANSPORTE, ,4.25,006,,688,801290S47082P23:40:00,Vale Transporte,-19.426603,-44.22163,801290S47082P23:40:006116517,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Madrugada,23:30:00,1.0,1,0.0,7,2023-07-26189049697023:55:48,200ME60164N91460,200ME60164N91460,2,,2023-07-26 23:55:48,2023-07-26 04:30:00,2023-07-27 04:29:59,6116517.0,6116517.0,23,casa,
-19.464621,-44.247932,2023-07-26,19:09:54,1890528586,14229,URBANO - VALE TRANSPORTE, ,4.25,006,,688,801288S47082P18:40:00,Vale Transporte,-19.464447,-44.248482,801288S47082P18:40:006116517,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,19:00:00,1.0,1,0.0,7,2023-07-26189052858619:09:54,200ME60166N91460,200ME60166N91460,2,,2023-07-26 19:09:54,2023-07-26 04:30:00,2023-07-27 04:29:59,6116517.0,6116517.0,19,casa,
-19.464592,-44.247948,2023-07-26,18:13:06,1890551530,14016,URBANO - VALE TRANSPORTE, ,4.25,007,,688,928315S47082P17:40:00,Vale Transporte,-19.460644,-44.241329,928315S47082P17:40:006116517,,Pico Tarde,18:00:00,1.0,3,,7,2023-07-26189055153018:13:06,200ME60166N91460,200ME60172N91464,3,,2023-07-26 18:13:06,2023-07-26 04:30:00,2023-07-27 04:29:59,6116517.0,6116063.0,18,outros motivos,
-19.460644,-44.241329,2023-07-26,19:16:22,1890551530,12014,URBANO - VALE TRANSPORTE, ,4.25,007,,688,775994S47082P18:55:00,Vale Transporte,-19.413692,-44.227448,775994S47082P18:55:006116063,,Pico Tarde,19:00:00,3.0,3,,7,2023-07-26189055153019:16:22,200ME60172N91464,200ME60172N91464,4,,2023-07-26 19:16:22,2023-07-26 04:30:00,2023-07-27 04:29:59,6116063.0,,19,casa,
-19.440544,-44.341972,2023-07-26,17:39:22,1890611946,1901,URBANO - SENIOR, ,0.0,012,,688,805177S47082P17:00:00,Gratuito Idoso,-19.464645,-44.248081,805177S47082P17:00:006116355,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,17:30:00,85.0,1,0.0,7,2023-07-26189061194617:39:22,1KME6006N9148,200ME60166N91460,2,,2023-07-26 17:39:22,2023-07-26 04:30:00,2023-07-27 04:29:59,6116355.0,6116517.0,17,outros motivos,
-19.464645,-44.248081,2023-07-26,18:17:12,1890611946,12029,URBANO - SENIOR, ,0.0,033,,688,2398085S47082P18:10:00,Gratuito Idoso,-19.46439,-44.247826,2398085S47082P18:10:006116517,,Pico Tarde,18:00:00,1.0,85,,7,2023-07-26189061194618:17:12,200ME60166N91460,1KME6006N9148,3,,2023-07-26 18:17:12,2023-07-26 04:30:00,2023-07-27 04:29:59,6116517.0,6116355.0,18,casa,
-19.464609,-44.247936,2023-07-26,21:21:12,1890618714,14185,URBANO - VALE TRANSPORTE, ,4.25,034,,688,775916S47082P20:30:00,Vale Transporte,-19.439463,-44.224167,775916S47082P20:30:006116517,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Noite,21:00:00,1.0,1,0.0,7,2023-07-26189061871421:21:12,200ME60166N91460,200ME60166N91460,2,,2023-07-26 21:21:12,2023-07-26 04:30:00,2023-07-27 04:29:59,6116517.0,6116517.0,21,casa,
-19.464569,-44.247898,2023-07-26,14:20:32,1891033626,14180,URBANO - VALE TRANSPORTE, ,2.12,034,,688,804634S47082P13:25:00,Vale Transporte,-19.434656,-44.210045,804634S47082P13:25:006116517,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Entre Pico,14:00:00,1.0,76,0.0,7,2023-07-26189103362614:20:32,200ME60166N91460,200ME60206N91492,1,,2023-07-26 14:20:32,2023-07-26 04:30:00,2023-07-27 04:29:59,6116517.0,6397229.0,14,outros motivos,
-19.434656,-44.210045,2023-07-26,16:57:46,1891033626,16210,URBANO - VALE TRANSPORTE, ,4.25,034,,688,804634S47082P16:35:00,Vale Transporte,-19.464569,-44.247898,804634S47082P16:35:006397229,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,16:30:00,76.0,76,0.0,7,2023-07-26189103362616:57:46,200ME60206N91492,200ME60206N91492,2,,2023-07-26 16:57:46,2023-07-26 04:30:00,2023-07-27 04:29:59,6397229.0,6397229.0,16,casa,
-19.420006,-44.243748,2023-07-26,07:24:20,1891114186,11161,URBANO - VALE TRANSPORTE, ,4.25,001,,688,775952S47082P07:20:00,Vale Transporte,-19.472357,-44.215446,775952S47082P07:20:006116397,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Manhã,07:00:00,81.0,46,0.0,7,2023-07-26189111418607:24:20,200ME60172N91508,200ME60198N91450,1,,2023-07-26 07:24:20,2023-07-26 04:30:00,2023-07-27 04:29:59,6116397.0,6116553.0,07,trabalho,
